"Pdf Customiser by Fooman","نضام تعديل المطبوعات من فومان"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","إضافة تعليق يظهر للزبناء في أسفل الفاتورة. يمكن مثلا إضافة رقم الحساب البنكي و شروط الأداء"
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","إضافة تعليق يظهر أسفل عقد الإدان"
"Add your custom comments here to appear at the bottom of the Shipment Pdf","إضافة تعليق يظهر أسفل عقد التسليم"
"Bottom Margin","الهامش السفلي"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","(UTF-8) Dejavu-Variants لتحمل رموز إضافية  i . لملفات من حجم أصغر Courier أو Times"
"Credit Memo Title","عنوان عقد الإدان"
"Custom Text","نص معدل"
"Font","أسلوب الطباعة"
"Base Font Size","حجم الحروف"
"Invoice Title","عنوان الفاتورة"
"Logo for the Pdf","رمزالشركة "
"Page Size","حجم الصفحة"
"Shipment Title","عنوان عقد الاستلام"
"Side Margins","الهوامش"
"Store Address","حفظ العناوين"
"Tax Details","تفاصيل الضريبة"
"Top Margin","الهامش العلوي"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","أي العناوين يجب إظهار في عقد الإدان؟ ملاحظة: المنتوجات القابلة للتحميل لا تملك عنوان استلام"
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","أي العناوين يجب إظهار في عقد التسليم ؟ ملاحظة: المنتوجات القابلة للتحميل لا تملك عنوان استلام"
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","أي العناوين يجب إظهار على الوصل المرافق للمنتوج؟ ملاحظة: المنتوجات القابلة للتحميل لا تملك عنوان استلام"
"A4","A4"
"letter","رسالة"
"Billing Address only","عنوان ارسال الفاتورة فقط"
"Shipping Address only","عنوان الاستلام فقط"
"Both Addresses","العناوين معا"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","توقيع إلكتروني "
"Signature","توقيع"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","نقل محتوى الشهادة/التوقيع (إضافة إلى المفتاح الخاص). ينقل كل شيء"
"Password of Signature","كلمة سر التوقيع"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","أضف تعليقاتك المخصصة هنا لتظهر بأسفل مطبوعة الطلب."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","أي عناوين يجب ان تظهر في الطلب؟ من فضلك لاحظ ان المنتجات القابلة للتحميل لا تملك عنوان للشحن."
"Display","عرض"
"None","لا يوجد"
"Product Image","صورة المنتج"
"SKU Barcode","SKU باركود"
"Display Quantity as full number","أعرض الكمية كرقم كامل."
"US","الولايات المتحدة"
"European","اوروبى"
"Customer Address Format","صيغة عنوان المستخدم"
"Display Base and Order Currency","أعرض العملة الأساسية و عملة الطلب"
"Delivery Date","تاريخ الاستلام"
"Display Delivery Date","أعرض تاريخ الاستلام"
"Displays the date of the invoice again. Needed in some jurisdictions.","يعرض التاريخ للفاتورة مرة اخري. يُطلب في بعض الاحيان في الامور القضائية"
"Print Order History with Comments","أطبع التاريخ السابق للطلب مع التعليقات"
"Single - Shipping Address Label","مفرد - ملصق عنوان الشحن"
"Single - Billing Address Label","مفرد - ملصق عنوان الدفع"
"Double - Both Addresses","مزدوج - كلا العناونين"
"Use Integrated Labels","استخدم ملصقات مدمجة"
"Print Order as Packing Slip","أطبع الطلب كايصال التغليف"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","استخدم هذا الخيار إذا كنت ترغب في طباعة أيصلات التغليف دون الحاجة إلى إنشاء الشحنات. لكن سوف تفقد القدرة على طباعة ايصلات التغليف مع رقم الشحنة (يتم استخدام رقم الطلب بدلا من ذلك)."
"Footer Block 1","بلوك الفوتر 1"
"Footer Block 2","بلوك الفوتر 2"
"Footer Block 3","بلوك الفوتر 3"
"Footer Block 4","بلوك الفوتر 4"
"Double - Shipping and Return Addresses","مزدوج - عناوين الشحن و الإرجاع"
"Return Address","عنوان الإرجاع"
"Total Weight","الوزن الإجمالي"
"Display Total Weight","إعرض الوزن الإجمالي"
"kg","ك.ج"
"Background Image for Pdf","صورة الخلفية لملف الطباعة بصيغة البي دي اف"
"Placement of Logo","مكان الشعار"
"Logo Width","عرض الشعار"
"Logo Height","ارتفاع الشعار"
"Logo top-left Corner from the left","الشعار أعلي-يسار الزواية من جهه اليسار"
"Logo top-left Corner from the top","الشعار أعلي-يسار الزاوية من الأعلي"
"automatic","اتوماتيكي"
"no-scaling","لا توسع"
"manual","يدوي"
"Display Email Address","أعرض عنوان البريد الإلكتروني"
"Displays as part of the billing address.","عرض كجزء من عنوان الدفع."
"in milimeters","بالملي متر"
"Display Row Subtotal Including Tax","عرض اجمالي الصف بما في ذلك الضرائب"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","فعال فقط لو الضريبة اكبر من الطلبات , الفواتير و خيارات مذاكرت الائتمان اكبر من الاسعار التي حددت ان لا تعرض الضرائب."
"Grand Total is tax inclusive","المجموع الكلي شامل ضريبة المبيعات"
"Display only one Grand Total","إعرض فقط مجموع اجمالى واحد"
"Display detailed Tax Summary","Display Detailed Tax Summary"
"Columns","أعمدة"
"Columns Advanced","أعمدة متقدمة"
"Display Background only on first page","عرض الخلفية فقط في الصفحة الأولى"
"Display Page Number","Display Page Number"
"Custom Column","عمود مخصص"
"Custom Column Attribute","خاصية مخصصة للعمود"
"Base Amount","Base Amount"
"Select up to 5 attributes.","Select up to 5 attributes."
"Position","Position"
"Pos","Pos"
"right","Right"
"left","Left"
"Display Pdf in New Window","Display Pdf in New Window"
"Weight Unit","Weight Unit"
"Barcode Type","Barcode Type"
"Pdf Totals Sort Order","Pdf Totals Sort Order"
"Upload Custom Font","Upload Custom Font"
"Don't Use","Don't Use"
"Custom Label Left - Shipping Address","Custom Label Left - Shipping Address"
"Custom Label Right - Shipping Address","Custom Label Right - Shipping Address"
"Custom Label Left - Billing Address","Custom Label Left - Billing Address"
"Custom Label Right - Billing Address","Custom Label Right - Billing Address"
"Display Salesrule instead of Coupon Code","Display Salesrule instead of Coupon Code"
"Combines Gift Wrapping for Orders, Items and Printed Cards","Combines Gift Wrapping for Orders, Items and Printed Cards"
"Sort by Column","Sort by Column"
"Use Alternative Layout","Use Alternative Layout"
"Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM).","Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM)."
"Double - Shipping and Store Addresses","Double - Shipping and Store Addresses"
"Double - Shipping with Store Addresses and Image", "Double - Shipping with Store Addresses and Image"
