"Expected: ","Erwartet: "
"OUT OF STOCK","NICHT AUF LAGER"
"in stock","auf Lager"
"Limited Stock","Begrenzte Anzahl"
"In stock","Auf Lager"
"Backorder","Nachbestellt"
"Order today, and this will ship by: ","Bestellen Sie heute, und geliefert wird: "
"About", "Über"
"Custom Stock Status","Individueller Lager Bestand"
"General Options", "Optionen"
"Default Order Processing Time", "Standard Bearbeitungszeit"
"How many days it takes until product ships. Enter 1 for same day shipping if ordered by cut-off time.", "How many days it takes until product ships. Enter 1 for same day shipping if ordered by cut-off time."
"Simple Products","Simple Products"
"These options affect simple products only.","Diese Option betrifft nur simple products."
"Show Stock Level?","Zeige Lagerbestand?"
"Show the actual quantity in stock?","Zeige den eigentlichen Lagerbestand?"
"Limited Stock Threshold","Begrenzter Schwellwert für den Lagerbestand"
"Quantity at which "Limited Stock" is displayed.","Anzahl ab welcher der "Begrenzte Lagerbestand" angezeigt wird."
"Use Custom Availability Text?","Benutze individuellen Verfügbarkeits Text?"
"Displays text in "Custom Availability" field, if available.","Zeige den Text "individuelle Verfügbarkeit", wenn Vorhanden."
"Show Ship Date?","Zeige Versand Datum?"
"Set to Yes to show shipping date on product page.","Ja für ein Zeigen des Versanddatums auf Produktseiten "
"Ship Date Text","Versanddatum Text"
"Configurable Products","Configurable Products"
"These options affect configurable products only.","Diese optionen betreffen nur configurable products."
"Use Custom Main Availability Text?","Benuzte den individuellen Hauptverfügbarkeitstext?"
"Displays text in "Custom Availability" field of parent product, if available.","Zeige Text in "individueller Verfügbarkeit" des Elternproduktes an, wenn vorhanden."
"Use Dropdown Custom Availability Text?","Benutze Individuellen Verfügbarkeitstext als Dropdown?"
"Displays text in "Custom Availability" field of child product in dropdown, if available.","Zeige Text in "individueller Verfügbarkeit" des Kindproduktes an, wenn vorhanden."
"Bundle Products","Bundle Products"
"These options affect bundle products only.","Diese Optionen betreffen nur bundle products."
"Enable","Einschalten"
"Enable module for bundle products?","Modul für bundle products nutzen?"
"Virtual Products","Virtual Products"
"These options affect virtual products only.","Diese optionen betreffen nur virtual products."
"Custom Availability Text","Individueller Verfügbarkeitstext"
"Enter custom availability text here if wanted.","Füge Individuellen Verfügbarkeitstext hier ein wenn gewünscht"
"Days To Ship Product","Tage zum Versenden des Produktes"
"Leave blank for default set in configuration.","Leer lassen um Standardeinstellungen zu übernehmen."
"Expected In-Stock Date","Erwartetes Verfügbarkeitsdatum"
"Shipping Message Style","Stil der Versandnachricht"
"Select the style of shipping message to display.","Wähle Stil der Versandnachrichtanzeige."
"Processing Cut-Off Time","Bestellprozess Grenz-Zeit"
"Time a customer has to order by to start processing that day. If ordered after this time, processing will start next day.","Die Zeit, die ein Kunde zur Verfügung hat, damit der Bestellprozess noch am selben Tag beginnt."
"Show Stock Info Link?","Zeige den auf Lager Info Link?"
"Shows an information link below the stock status which links to a specified CMS page.","Zeigt einen Info Link, zu einer zuvor angelegten CMS Seite"
"What you want the stock info link to say.","Info Link Text."
"CMS Page","CMS Seite"
"Select CMS page to link to.","Wähle zu verlinkende CMS Seite."
"Countdown","Countdown"
"Custom Text And Ship Date","Individueller Text und Versand Datum"
"Pre-Order: Available ","Vorbestellung: Verfügbar "
"Pre-Order - Available %s","Vorbestellung - Verfügbar %s"
"next business day","nächster Werktag"
"today","heute"
"tomorrow","Morgen"
"Ships %s.","Lieferdatum %s."
"Ships %s if ordered in the next <b>%s hours</b> and <b>%s minutes</b>!","Lieferdatum %s bei Bestellung in den nächsten <b>%s Stunden</b> und <b>%s minuten</b>!"
"Ships by: ","Lieferdienst: "
"Ships %s if ordered in the next <b>%s hour</b> and <b>%s minutes</b>!","Lieferdatum %s bei Bestellung in den nächsten <b>%s Stunden</b> und <b>%s minuten</b>!"
"Ships %s if ordered in the next <b>%s minutes</b>!","Lieferdatum %s bei Bestellung in den nächsten <b>%s minuten</b>!"
"Hide Expired Expected Dates?","Abgelaufenes voraussichtliches Datum nicht anzeigen?"
"Do you want to hide the expected date if it has passed?","Soll das voraussichtliche Datum versteckt werden, wenn die Zeit abgelaufen ist?"
