"Pdf Customiser by Fooman","Pdf Konfigurator von Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","Fügen Sie hier einen Kommentar hinzu der unten auf der Rechung erscheint. Zum Beispiel können Sie hier Ihre Bankangaben machen oder Zahlungsmodalitäten angeben."
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","Fügen Sie hier einen Kommentar hinzu der unten auf der Gutschrift erscheint."
"Add your custom comments here to appear at the bottom of the Shipment Pdf","Fügen Sie hier einen Kommentar hinzu der unten auf dem Packzettel erscheint."
"Bottom Margin","unterer Seitenrand"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Wählen Sie Helvetica, Times oder Courier für kleinere Dateigrößen. Wählen Sie die Dejavu-Varianten für bessere Schriftzeichenunterstützung (UTF-8)."
"Credit Memo Title","Überschrift Gutschrift "
"Custom Text","Kommentar"
"Font","Schriftart"
"Base Font Size","Schriftgröße"
"Invoice Title","Überschrift Rechung"
"Logo for the Pdf","Logo für Pdf Ausdrucke"
"Page Size","Seitengröße"
"Shipment Title","Überschrift Packzettel"
"Side Margins","Seitenränder"
"Store Address","Shop Adresse"
"Tax Details","Steuernummer"
"Top Margin","oberer Seitenrand"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Welche Adressen sollen auf der Gutschrift erscheinen? Hinweis: Bestellungen von Downloadprodukten haben keine Lieferadresse."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Welche Adressen sollen auf der Rechnung erscheinen? Hinweis: Bestellungen von Downloadprodukten haben keine Lieferadresse."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Welche Adressen sollen auf dem Packzettel erscheinen? Hinweis: Bestellungen von Downloadprodukten haben keine Lieferadresse."
"A4","A4"
"letter","Brief"
"Billing Address only","nur Rechnungsadresse"
"Shipping Address only","nur Lieferadresse"
"Both Addresses","beide Adressen"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","Pdf digital unterschreiben"
"Signature","Unterschrift"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Kopieren Sie den Inhalt Ihres Zertifikats bzw. Ihrer Unterschrift inklusive des privaten Schlüssels. Fügen Sie alles von -----BEGIN RSA PRIVATE KEY----- bis -----END CERTIFICATE----- ein"
"Password of Signature","Passwort für Unterschrift"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","Fügen Sie hier einen Kommentar hinzu der unten auf der Bestellbestätigung erscheint."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Welche Adressen sollen auf der Bestellbestätigung erscheinen? Hinweis: Bestellungen von Downloadprodukten haben keine Lieferadresse."
"Display","Zeige"
"None","Nichts"
"Product Image","Produktbild"
"SKU Barcode","Barcode Artikelnummer"
"Display Quantity as full number","Zeige Anzahl als ganze Zahl"
"US","US"
"European","Europäisch"
"Customer Address Format","Formatierung Kundenaddresse"
"Display Base and Order Currency","Zeige Bestell- und Basiswährung"
"Delivery Date","Liefer/Leistungsdatum"
"Display Delivery Date","Zeige Liefer/Leistungsdatum"
"Displays the date of the invoice again. Needed in some jurisdictions.","Zeigt das Rechnungsdatum nochmals als Liefer/Leistungsdatum an."
"Print Order History with Comments","Drucke Kommentare und Bestellgeschichte"
"Single - Shipping Address Label","Single - Nur Lieferaddresse"
"Single - Billing Address Label","Single - Nur Rechnungsaddresse"
"Double - Both Addresses","Double - Beide Addressen"
"Use Integrated Labels","Integrated Labels benutzen"
"Print Order as Packing Slip","Drucke Bestellung als Packzettel"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","Mit dieser Option können Sie einen Packzettel ausdrucken ohne zuserst eine Lieferung erstellen zu müssen. Die ursprüngliche Funktion wird dabei aber unterdrückt und sie können keinen Packzettel mit der Lieferungsnummer ausdrucken (die Bestellungsnummer wird stattdessen verwendet)."
"Footer Block 1","Fußzeilenblock 1"
"Footer Block 2","Fußzeilenblock 2"
"Footer Block 3","Fußzeilenblock 3"
"Footer Block 4","Fußzeilenblock 4"
"Double - Shipping and Return Addresses","Double - Liefer- und Ladenaddresse"
"Return Address","Rücksendeaddresse"
"Total Weight","Gesamtgewicht"
"Display Total Weight","Zeige Gesamtgewicht an"
"kg","kg"
"Background Image for Pdf","Hintergrundbild"
"Placement of Logo","Logo-Platzierung"
"Logo Width","Logobreite"
"Logo Height","Logohöhe"
"Logo top-left Corner from the left","Abstand Ecke links oben zum Seitenrand"
"Logo top-left Corner from the top","Abstand Ecke links oben zum Seitenanfang"
"automatic","automatisch"
"no-scaling","keine Skalierung"
"manual","manuell"
"Display Email Address","Zeige Emailaddresse an"
"Displays as part of the billing address.","Wird angezeigt mit der Rechnungsaddress."
"in milimeters","in Milimetern"
"Display Row Subtotal Including Tax","Zeige Zeilenzwischensumme inkl. Steuer"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","nur effektiv wenn die Einstellung Steuer > Bestellungen, Rechnungen, ..  Anzeigeeinstellungen > Preise die Steuern nicht anzeigt"
"Grand Total is tax inclusive","Gesamtsumme ist inkl. Steuer"
"Display only one Grand Total","Zeige nur eine Gesamtsumme an"
"Display detailed Tax Summary","Zeige detaillierte Steueraufschlüsselung an"
"Columns","Spalten"
"Columns Advanced","Spalten (Fortgeschritten)"
"Display Background only on first page","Zeige Hintergrund nur auf erster Seite"
"Display Page Number","Seitennummerierung"
