Available Papers for Gift Wrap,Beschikbaar inpakpapier
Print This Page,Pagina afdrukken
Items to giftwrap,Producten voor inpakken
Item,Product
Style Selection,Selecteer stijl
Style Image,Stijl afbeelding
Style Price,Stijl prijs
Personal Message,Persoonlijke boodschap
Wrap all available items in cart,Alle beschikbare producten in de winkelwagen inpakken
View available papers,Bekijk beschikbaar inpakpapier 
Type your personal message here,Typ uw persoonlijke boodschap
Gift Wrap,Inpakken
Gift Wrap Information,Informatie over inpakken
Loading...,Bezig met laden...
Please wait...,Moment alstublief...
Wrap all items together,Alle producten samen inpakken
Gift Wrap Tooltip,Melding inpakken
Giftwrap Amount,Aantal inpakken
,
Additional labels ( out of Magestore's translation file),
Select a gift box style,Kies uw pakpapier
Select items for wrapping (4 items max per box),Selecteer de producten die u wilt laten inpakken (max. 4 per doos)
Wrap all products in a box,Alle producten inpakken in 1 doos
Wrap each product in a box,Pak ieder product afzonderlijk in
Qty wrapped/Total,Aantal ingepakt/totaal
Qty to be wrapped,In te pakken aantal
Tick to Wrap,Selecteer om in te pakken
