"LookBook Slider","LookBook Slider"
"LookBook Sliders","LookBook Sliders"
"General Settings","General Settings"
"Yes","Yes"
"No","No"
"Enabled","Enabled"
"Disabled","Disabled"
"Visible In","Visible In"
"Caption","Caption"
"Order","Order"
"Use Categories Path for Product URLs","Use Categories Path for Product URLs"
"Uploaded file max size (bytes)","Uploaded file max size (bytes)"
"Must be less then upload_max_filesize and post_max_size in php.ini","Must be less then upload_max_filesize and post_max_size in php.ini"
"Allowed extensions","Allowed extensions"
"Comma separated file extensions. Example, &quot; jpg,gif,png &quot;","Comma separated file extensions. Example, &quot; jpg,gif,png &quot;"
"Hotspot Icon","Hotspot Icon"
"If empty, default will be used.","If empty, default will be used."
"Interdict hotspots areas overlap","Interdict hotspots areas overlap"
"If &quot;Yes&quot;, will interdict hotspots areas overlap","If &quot;Yes&quot;, will interdict hotspots areas overlap"
"Slider Size","Slider Size"
"CMS Pages","CMS Pages"
"Categories","Categories"
"Product Categories","Product Categories"
"Edit Slider","Edit Slider"
"Manage Slides","Manage Slides"
"Manage %s slides","Manage %s slides"
"Add Slider","Add Slider"
"Lookbook Slider Manager","Lookbook Slider Manager"
"Save Slider","Save Slider"
"Delete Slider","Delete Slider"
"Delete Slide","Delete Slide"
"Save Slide","Save Slide"
"Edit Slider '%s'","Edit Slider '%s'"
"Slider &quot%s&quot. Slide &quot%s&quot.","Slider &quot%s&quot. Slide &quot%s&quot."
"Slider &quot%s&quot. New Slide.","Slider &quot%s&quot. New Slide."
"Slider Information","Slider Information"
"Display on CMS Pages","Display on CMS Pages"
"Display on Categories","Display on Categories"
"Slider Width (px)","Slider Width (px)"
"Slider Height (px)","Slider Height (px)"
"Content Before","Content Before"
"This content will be shown before slider","This content will be shown before slider"
"Content After","Content After"
"This content will be shown after slider","This content will be shown after slider"
"Show Slide Names","Show Slide Names"
"If YES will show slide names at the slider bottom","If YES will show slide names at the slider bottom"
"Sliders Manager","Sliders Manager"
"Slider does not exist","Slider does not exist"
"Slider width and height must be set and greater then zero.","Slider width and height must be set and greater then zero."
"Slider was successfully saved","Slider was successfully saved"
"Unable to find slider to save","Unable to find slider to save"
"Slider was successfully deleted","Slider was successfully deleted"
"Please select Slider(s)","Please select Slider(s)"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
