"Developer's Toolbar","Developer's Toolbar"
"General","General"
"Enabled","Enabled"
"Disabled","Disabled"
"Magento Version","Magento Version"
"Profiler Runtime","Profiler Runtime"
"Memory Used","Memory Used"
"System","System"
"Enable Cache","Enable Cache"
"Clean Cache","Clean Cache"
"Options","Options"
"Suppressed Classes","Suppressed Classes"
"If your theme already includes Zurb Foundation, disable this option.","If your theme already includes Zurb Foundation, disable this option."
"Classes you list here will be suppressed in toolbar output.","Classes you list here will be suppressed in toolbar output."
