"<span class="expected">Expected: %s</span><br>","<span class="expected">Expected: %s</span><br>"
"Today","Today"
"More than %s ","More than %s "
" * OUT OF STOCK (Expected: %s)"," * OUT OF STOCK (Expected: %s)"
" * OUT OF STOCK"," * OUT OF STOCK"
" * %s"," * %s"
" * Pre-Order"," * Pre-Order"
" * On Backorder (Expected: %s)"," * On Backorder (Expected: %s)"
" * On Backorder"," * On Backorder"
" * Ships by: %s"," * Ships by: %s"
" * (%s in stock)"," * (%s in stock)"
"Out of stock","Out of stock"
"Expected: %s","Expected: %s"
"Pre-Order: Available %s","Pre-Order: Available %s"
"In stock","In stock"
"Limited stock","Limited stock"
"today","today"
"tomorrow","tomorrow"
"Ships %s if ordered in the next <b>%s day</b>, <b>%s hour</b> and <b>%s minutes</b>!","Ships %s if ordered in the next <b>%s day</b>, <b>%s hour</b> and <b>%s minutes</b>!"
"Ships %s if ordered in the next <b>%s day</b> and <b>%s minutes</b>!","Ships %s if ordered in the next <b>%s day</b> and <b>%s minutes</b>!"
"Ships %s if ordered in the next <b>%s day</b>, <b>%s hours</b> and <b>%s minutes</b>!","Ships %s if ordered in the next <b>%s day</b>, <b>%s hours</b> and <b>%s minutes</b>!"
"Ships %s if ordered in the next <b>%s days</b>, <b>%s hour</b> and <b>%s minutes</b>!","Ships %s if ordered in the next <b>%s days</b>, <b>%s hour</b> and <b>%s minutes</b>!"
"Ships %s if ordered in the next <b>%s days</b> and <b>%s minutes</b>!","Ships %s if ordered in the next <b>%s days</b> and <b>%s minutes</b>!"
"Ships %s if ordered in the next <b>%s days</b>, <b>%s hours</b> and <b>%s minutes</b>!","Ships %s if ordered in the next <b>%s days</b>, <b>%s hours</b> and <b>%s minutes</b>!"
"Ships %s if ordered in the next <b>%s hour</b> and <b>%s minutes</b>!","Ships %s if ordered in the next <b>%s hour</b> and <b>%s minutes</b>!"
"Ships %s if ordered in the next <b>%s minutes</b>!","Ships %s if ordered in the next <b>%s minutes</b>!"
"Ships %s if ordered in the next <b>%s hours</b> and <b>%s minutes</b>!","Ships %s if ordered in the next <b>%s hours</b> and <b>%s minutes</b>!"
"Order today, and this will ship by: ","Order today, and this will ship by: "
"%s<b>Today</b>","%s<b>Today</b>"
"Holidays are currently disabled. If wanted, enable below.","Holidays are currently disabled. If wanted, enable below."
"Countdown","Countdown"
"Custom Text And Ship Date","Custom Text And Ship Date"
"Custom Stock Status","Custom Stock Status"
"General Options", "General Options"
"Shipping Message Style","Shipping Message Style"
"Select the style of shipping message to display.","Select the style of shipping message to display."
"Shipping Date Format","Shipping Date Format"
"See "Date Format Options" above.","See "Date Format Options" above."
"Processing Cut-Off Time","Processing Cut-Off Time"
"Time a customer has to order by to start processing that day. If ordered after this time, processing will start next day.","Time a customer has to order by to start processing that day. If ordered after this time, processing will start next day."
"Default Order Processing Time","Default Order Processing Time"
"How many days it takes until product ships. Enter 1 for same day shipping if ordered by cut-off time.","How many days it takes until product ships. Enter 1 for same day shipping if ordered by cut-off time."
"No Shipping On Holidays?","No Shipping On Holidays?"
"Select "Yes" to enter dates such as holidays when you do not ship. The ship date will calculate accordingly.","Select "Yes" to enter dates such as holidays when you do not ship. The ship date will calculate accordingly."
"Holidays","Holidays"
"Enter days you do not ship on, followed by a comma. Use the format "month-day." For example, "05-03" for May 3rd.","Enter days you do not ship on, followed by a comma. Use the format "month-day." For example, "05-03" for May 3rd."
"Dynamic Holidays","Dynamic Holidays"
