"Pdf Customiser by Fooman","Pdf Customiser by Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment."
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","Add your custom comments here to appear at the bottom of the Creditmemo Pdf"
"Add your custom comments here to appear at the bottom of the Shipment Pdf","Add your custom comments here to appear at the bottom of the Shipment Pdf"
"Bottom Margin","Bottom Margin"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8)."
"Credit Memo Title","Credit Memo Title"
"Custom Text","Custom Text"
"Font","Font"
"Base Font Size","Base Font Size"
"Invoice Title","Invoice Title"
"Logo for the Pdf","Logo for the Pdf"
"Page Size","Page Size"
"Shipment Title","Shipment Title"
"Side Margins","Side Margins"
"Store Address","Store Address"
"Tax Details","Tax Details"
"Top Margin","Top Margin"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address."
"A4","A4"
"letter","letter"
"Billing Address only","Billing Address only"
"Shipping Address only","Shipping Address only"
"Both Addresses","Both Addresses"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","Digitally Sign Pdf"
"Signature","Signature"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----"
"Password of Signature","Password of Signature"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
