"
                            ","
                            "
"Add","Add"
"Add Column","Add Column"
"Add Out of Stock Products","Add Out of Stock Products"
"Add Out of Stock Products - Associated Products","Add Out of Stock Products - Associated Products"
"Add Out of Stock Products - Configurable Associated","Add Out of Stock Products - Configurable Associated"
"Add Rule","Add Rule"
"Add Store Code to Product Id","Add Store Code to Product Id"
"Add Tax to Price","Add Tax to Price"
"Add Tax to Shipping Price","Add Tax to Shipping Price"
"Add after","Add after"
"Add to Product URL","Add to Product URL"
"Age Group Attributes","Age Group Attributes"
"Alternate Stock/Availability Attribute.","Alternate Stock/Availability Attribute."
"Apply Catalog Price Rules","Apply Catalog Price Rules"
"Associated if is visible in catalog, otherwise from configurable","Associated if is visible in catalog, otherwise from configurable"
"Associated if is visible in catalog, otherwise from grouped","Associated if is visible in catalog, otherwise from grouped"
"Associated product if exists, otherwise from configurable","Associated product if exists, otherwise from configurable"
"Associated product if exists, otherwise from grouped","Associated product if exists, otherwise from grouped"
"Associated product if not empty, otherwise from parent configurable","Associated product if not empty, otherwise from parent configurable"
"Associated product if not empty, otherwise from parent grouped","Associated product if not empty, otherwise from parent grouped"
"Associated product only","Associated product only"
"Associated products - Fetch description from","Associated products - Fetch description from"
"Associated products - Fetch link from","Associated products - Fetch link from"
"Associated products - Fetch main image from","Associated products - Fetch main image from"
"Associated products - Form unique urls for not visible associated products","Associated products - Form unique urls for not visible associated products"
"Attributes","Attributes"
"Batch Limit","Batch Limit"
"Both types - parent configurable product and childs associated products","Both types - parent configurable product and childs associated products"
"Both types - parent grouped product and childs associated products","Both types - parent grouped product and childs associated products"
"Cache Shipping","Cache Shipping"
"Category","Category"
"Color Attributes","Color Attributes"
"Color Attributes (configurable)","Color Attributes (configurable)"
"Configurable product if exists, otherwise from associated product","Configurable product if exists, otherwise from associated product"
"Countries","Countries"
"Countries with Regions","Countries with Regions"
"Delete","Delete"
"Directives","Directives"
"Enable Shipping Feature","Enable Shipping Feature"
"Enabled","Enabled"
"Feed generation not allowed in global scope or website scope. Please change to store view scope.","Feed generation not allowed in global scope or website scope. Please change to store view scope."
"Feed generation not allowed, too many products. Magento Cron will create the feed on a nightly basis. For testing purpose please use test button bellow.","Feed generation not allowed, too many products. Magento Cron will create the feed on a nightly basis. For testing purpose please use test button bellow."
"Feed path","Feed path"
"Finished at:","Finished at:"
"For Empty Google Base Feed Column","For Empty Google Base Feed Column"
"Force Logging","Force Logging"
"Format Prices","Format Prices"
"Format Shipping Prices","Format Shipping Prices"
"Gender Attributes","Gender Attributes"
"Generate Feed Now","Generate Feed Now"
"Google Base Feed Column","Google Base Feed Column"
"Grouped product if exists, otherwise from associated product","Grouped product if exists, otherwise from associated product"
"How to add associated products","How to add associated products"
"Limit","Limit"
"Log skip products messages","Log skip products messages"
"Manufacturer Attribute","Manufacturer Attribute"
"Material Attributes (configurable)","Material Attributes (configurable)"
"Max Length of Description","Max Length of Description"
"Methods","Methods"
"Minimal price","Minimal price"
"No parent configurable product / Only childs associated products","No parent configurable product / Only childs associated products"
"No parent grouped product / Only childs associated products","No parent grouped product / Only childs associated products"
"Offset","Offset"
"Only Free Shipping","Only Free Shipping"
"Only Minimum Price","Only Minimum Price"
"Only parent configurable product / No childs associated products","Only parent configurable product / No childs associated products"
"Only parent grouped product / No childs associated products","Only parent grouped product / No childs associated products"
"Order","Order"
"Parent configurable if not empty, otherwise from associated product","Parent configurable if not empty, otherwise from associated product"
"Parent configurable product only","Parent configurable product only"
"Parent grouped if not empty, otherwise from associated product","Parent grouped if not empty, otherwise from associated product"
"Parent grouped product only","Parent grouped product only"
"Pattern Attributes (configurable)","Pattern Attributes (configurable)"
"Payments Accepted","Payments Accepted"
"Price Type","Price Type"
"Product Attribute","Product Attribute"
"Replace with Attribute Value","Replace with Attribute Value"
"Rocket Web","Rocket Web"
"Rule Order","Rule Order"
"Settings","Settings"
"Shipping Cache Expire","Shipping Cache Expire"
"Size Attributes","Size Attributes"
"Size Attributes (configurable)","Size Attributes (configurable)"
"Skip Products From Categories","Skip Products From Categories"
"Skip Products with empty","Skip Products with empty"
"Sku","Sku"
"Static Value","Static Value"
"Submit Products Without Images","Submit Products Without Images"
"Submit only products of these types","Submit only products of these types"
"Sum of associated products prices","Sum of associated products prices"
"TTL","TTL"
"Test Feed Now","Test Feed Now"
"US Feed","US Feed"
"Unique Identifier to Id","Unique Identifier to Id"
"Use Batch Segmentation (Experimental)","Use Batch Segmentation (Experimental)"
"Use default Stock Statuses","Use default Stock Statuses"
"Vary by Regions","Vary by Regions"
"Warning: Please do not close the window during the generation of the feed. Otherwise it will not finish the job.","Warning: Please do not close the window during the generation of the feed. Otherwise it will not finish the job."
"Weight Unit of Measurement","Weight Unit of Measurement"
