"Pdf Customiser by Fooman","Personalizador Impresiones Pdf por Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","Añada aquí sus comentarios personalizados, que aparecerán en la parte inferior de la impresión Pdf de la Factura. Puede, por ejemplo, incluir un número de cuenta bancaria así como medios y condiciones de pago."
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","Añada aquí sus comentarios personalizados, que aparecerán en la parte inferior de la impresión Pdf de la Nota de Crédito."
"Add your custom comments here to appear at the bottom of the Shipment Pdf","Añada aquí sus comentarios personalizados, que aparecerán en la parte inferior de la impresión Pdf del Envío."
"Bottom Margin","Margen Inferior"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Seleccione Helvetica, Times ó Courier para tamaños más pequeños. Elija las variaciones de la Dejavu para soportar más carateres (UTF-8)."
"Credit Memo Title","Título Nota de Crédito"
"Custom Text","Texto Personalizado"
"Font","Fuente"
"Base Font Size","Tamaño de la Fuente"
"Invoice Title","Título de la Factura"
"Logo for the Pdf","Logotipo para las impresiones Pdf"
"Page Size","Tamaño de la Página"
"Shipment Title","Título del Envío"
"Side Margins","Margenes Laterales"
"Store Address","Dirección Postal de la Tienda"
"Tax Details","Detalles de Impuestos"
"Top Margin","Margen Superior"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","¿Qué direcciones deben aparecer en la Nota de Crédito? Por favor, tenga en cuenta que los productos digitales descargables no cuentan con dirección de envío."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","¿Qué direcciones deben aparecer en la Factura? Por favor, tenga en cuenta que los productos digitales descargables no cuentan con dirección de envío."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","¿Qué direcciones deben aparecer en la Lista de Empaque? Por favor, tenga en cuenta que los productos digitales descargables no cuentan con dirección de envío."
"A4","Formato A4"
"letter","Formato Carta (letter)"
"Billing Address only","Sólo Dirección de Facturación"
"Shipping Address only","Sólo Dirección de Envío"
"Both Addresses","Ambas Direcciones"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVu Sans"
"DejaVuSansMono","DejaVu Sans Mono"
"DejaVuSerif","DejaVu Serif"
"Signature","Firma Digital para Pdf"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Copia el contenido del archivo de tu certificado/firma incluyendo tu llave privada aquí. Incluye todo desde -----BEGIN RSA PRIVATE KEY----- hasta -----END CERTIFICATE-----"
"Password of Signature","Contraseña de la Firma"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","Add your custom comments here to appear at the bottom of the Order Pdf."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address."
"Display","Mostrar"
"None","No"
"Product Image","Imágen de producto"
"SKU Barcode","SKU Código de barras"
"Display Quantity as full number","Mostrar cantidad como número completo"
"US","US"
"European","Europeo"
"Customer Address Format","Formato dirección del cliente"
"Display Base and Order Currency","Mostrar Base y el orden de divisa"
"Delivery Date","Fecha de Envío"
"Display Delivery Date","Mostrar fecha de Envío"
