"Pdf Customiser by Fooman","Fooman'i Pdf faili kohandaja"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","Lisa oma kohandatud kommentaarid siia, need ilmuvad arve väljatrüki all. Näiteks te võite lisada pangakonto numbri ja maksetingimused. "
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","Lisa oma kohandatud kommentaarid siia, need ilmuvad krediidi arve väljatrüki allosas  "
"Add your custom comments here to appear at the bottom of the Shipment Pdf","Lisa oma kohandatud kommentaarid siia, need ilmuvad saatmist puudutava dokumendi väljatrüki allosas"
"Bottom Margin","Alumine veeris "
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Vali Helvetica, Times või Courier font väiksema suurusega failidele. Vali Dejavu-faili variandid, et toetada rohkem karaktereid(tähemärke) (UTF-8). "
"Credit Memo Title","Krediidiarve pealkiri "
"Custom Text","Kohandatud tekst "
"Font","Font "
"Base Font Size","Fondi suurus"
"Invoice Title","Arve pealkiri (tiitel)"
"Logo for the Pdf","Logo Pdf faili väljatrükile "
"Page Size","Lehekülje suurus"
"Shipment Title","Saadetise pealkiri "
"Side Margins","Külje veerised "
"Store Address","Hoidmis aadress "
"Tax Details","Maksu andmed "
"Top Margin","Ülemine veeris "
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Millised aadressid peaksid ilmuma Krediidi arvel? Pange tähele, et allalaaditavate toodete tellimustel saatmis aadresse pole. "
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Millised aadressid peaksid kajastuma arvel? Pange tähele, et allalaaditavate toodete tellimustel saatmis aadresse pole. "
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Millised aadressid peaksid ilmuma pakkesedelil? Pange tähele, et allalaaditavate toodete tellimustel saatmis aadresse pole. "
"A4","A4 "
"letter","kiri "
"Billing Address only","Arvete tasuja aadress "
"Shipping Address only","Saaja aadress"
"Both Addresses","Mõlemad aadressid "
"Courier","Courier"
"Times New Roman","Times New Roman "
"Helvetica","Helvetica "
"DejaVuSans","DejaVuSans "
"DejaVuSansMono","DejaVuSansMono "
"DejaVuSerif","DejaVuSerif "
"Digitally Sign Pdf","Digitaalse allkirjaga Pdf "
"Signature","Allkiri "
