"Pdf Customiser by Fooman","سفارشي کننده ي Pdf - Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","توضيحات سفارشي خود را در اين جا وارد نماييد تا در پايين خروجي چاپي فاکتور نشان داده شود. به عنوان مثال شما مي توانيد شماره ي حساب بانکي و شرايط پرداخت را وارد کنيد."
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","توضیحات سفارشی خود را در این جا وارد نمایید تا در پایین خروجی چاپی اعلامیه ی بستانکاری نشان داده شود."
"Add your custom comments here to appear at the bottom of the Shipment Pdf","توضیحات سفارشی خود را در این جا وارد نمایید تا در پایین خروجی چاپی محموله نشان داده شود."
"Bottom Margin","حاشیه ی پایین"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","برای حجم فایل کمتر Helvetica, Times یا Courier را انتخاب کنید. برای پشتیبانی از کارکتر های بیشتر (UTF-8) انواع Dejavu را انتخاب کنید."
"Credit Memo Title","عنوان اعلامیه ی بستانکاری"
"Custom Text","متن سفارشی"
"Font","فونت"
"Base Font Size","اندازه ی فونت"
"Invoice Title","عنوان فاکتور"
"Logo for the Pdf","لوگو (آرم) برای خروجی چاپی Pdf"
"Page Size","اندازه ی صفحه"
"Shipment Title","عنوان محموله"
"Side Margins","حاشیه های کناری"
"Store Address","آدرس فروشگاه"
"Tax Details","جزییات مالیات"
"Top Margin","حاشیه ی بالا"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","کدام آدرس ها باید در اعلامیه ی بستانکاری نشان داده شوند؟ لطفا توجه داشته باشید که سفارشات محصول قابل دانلود آدرس ارسال ندارند."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","کدام آدرس ها باید در فاکتور نشان داده شوند؟ لطفا توجه داشته باشید که سفارشات محصول قابل دانلود آدرس ارسال ندارند."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","کدام آدرس ها باید در فهرست بسته بندی نشان داده شوند؟ لطفا توجه داشته باشید که سفارشات محصول قابل دانلود آدرس ارسال ندارند."
"A4","A4"
"letter","letter"
"Billing Address only","فقط آدرس صورت حساب"
"Shipping Address only","فقط آدرس ارسال"
"Both Addresses","هر دو آدرس"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","امضای دیجیتالی Pdf"
"Signature","امضا"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","محتویات فایل امضا/گواهینامه تان را که Private key تان را شامل می شود در این جا کپی کنید. هر چیزی را از -----BEGIN RSA PRIVATE KEY----- تا -----END CERTIFICATE----- شامل می شود."
"Password of Signature","کلمه ی عبور امضا"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","توضیحات سفارشی خود را در این جا وارد نمایید تا در پایین خروجی چاپی سفارش نشان داده شود."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","کدام آدرس ها باید در سفارش نشان داده شوند؟ لطفا توجه داشته باشید که سفارشات محصول قابل دانلود آدرس ارسال ندارند."
"Display","نمایش دادن"
"None","هیج کدام"
"Product Image","تصویر محصول"
"SKU Barcode","بارکد SKU (کد کالا)"
"Display Quantity as full number","نمایش تعداد به صورت عدد کامل"
"US","آمریکایی"
"European","اروپایی"
"Customer Address Format","قالب نشانی مشتری"
"Display Base and Order Currency","نمایش مبنا و ارز سفارش"
"Delivery Date","تاریخ تحویل"
"Display Delivery Date","نمایش تاریخ تحویل"
"Displays the date of the invoice again. Needed in some jurisdictions.","تاریخ فاکتور را دوباره نمایش می دهد. مورد نیاز در برخی از حوزه های قضایی."
"Print Order History with Comments","نمایش تاریخچه ی سفارش با توضیحات"
"Single - Shipping Address Label","تک - برچسب آدرس ارسال"
"Single - Billing Address Label","تک - برچسب آدرس صورت حساب"
"Double - Both Addresses","دوتایی - هر دو آدرس"
"Use Integrated Labels","استفاده از Integrated Labels"
"Print Order as Packing Slip","چاپ سفارش به صورت فهرست بسته بندی"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","اگر شما می خواهید فهرست بسته بندی ها را بدون نیاز به ایجاد محموله چاپ کنید این گزینه را به کار ببرید. در این صورت شما امکان چاپ فهرست محموله ها را با شماره ی محموله از دست خواهید داد (در عوض شماره ی سفارش استفاده می شود)."
"Footer Block 1","بلاک پاورقی 1"
"Footer Block 2","بلاک پاورقی 2"
"Footer Block 3","بلاک پاورقی 3"
"Footer Block 4","بلاک پاورقی 4"
"Double - Shipping and Return Addresses","دوتایی - آدرس های ارسال و برگشت"
"Return Address","آدرس برگشت"
"Total Weight","مجموع وزن"
"Display Total Weight","نمایش مجموع وزن"
"kg","کیلوگرم"
"Background Image for Pdf","تصویر پس زمینه برای خروجی های چاپی Pdf"
"Placement of Logo","قراردادن لوگو (آرم)"
