"Pdf Customiser by Fooman","Pdf Customiser - Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","Lisää kommenttisi tähän, näkyy Laskun ala-osassa. Voit lisätä esim. pankkitilin numeron ja maksuehdot"
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","Lisää kommenttisi tähän, näkyy Hyvityslaskun ala-osassa"
"Add your custom comments here to appear at the bottom of the Shipment Pdf","Lisää kommenttisi tähän, näkyy Lähetyksen ala-osassa"
"Bottom Margin","Ala-osan marginaali"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Valitse Helvetica, Times tai Courier jos haluat pienen tiedostokoon. Valitse Dejavu-Variants jos haluat enemmän kirjasimia (UTF-8)."
"Credit Memo Title","Hyvityslasku otsikko"
"Custom Text","Oma teksti"
"Font","Fontti"
"Base Font Size","Fontti koko"
"Invoice Title","Lasku otsikko"
"Logo for the Pdf","Logo for the Pdf"
"Page Size","Page Size"
"Shipment Title","Lähetyksen otsikko"
"Side Margins","Laidan marginaali"
"Store Address","Kaupan osoite"
"Tax Details","Arvonlisäveron tiedot"
"Top Margin","Ylä-osan marginaali"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Mikä osoite näytetään Hyvityslasku? Huom. ladattavilla tuotteilla ei ole toimitusosoitetta."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Mikä osoite näytetään Lasku?  Huom. ladattavilla tuotteilla ei ole toimitusosoitetta."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Mikä osoite näytetään Lähete? Huom. ladattavilla tuotteilla ei ole toimitusosoitetta."
"A4","A4"
"letter","Letter"
"Billing Address only","Vain laskutusosoite"
"Shipping Address only","Vain toimitusosoite"
"Both Addresses","Molemmat osoitteet"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","Digitaalinen allekirjoitus Pdf"
"Signature","Allekirjoitus"
