"Pdf Customiser by Fooman","Pdf Customiser by Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","הוסף את הערותיך מותאמות אישית כאן כדי שיופיעו בתחתית חשבונית המודפסת. לדוגמא, באפשרותך להוסיף פרטי חשבון הבנק או כתובת למכתבים"
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","הוסף את הערותיך מותאמות אישית כאן כדי שיופיעו בתחתית חשבונית זיכוי המודפסת."
"Add your custom comments here to appear at the bottom of the Shipment Pdf","הוסף את הערותיך מותאמות אישית כאן כדי שיופיעו בתחתית תעודת המשלוח המודפסת."
"Bottom Margin","שוליים תחתוניים"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","בחר Helvetica, Times או Courier לקבצים במשקל קטן יותר. בחר Dejavu-Variants על מנת לתמוך בתוים נוספים (UTF-8)."
"Credit Memo Title","כותרת חשבונית הזיכוי"
"Custom Text","טקסט מותאם אישית"
"Font","גופן"
"Base Font Size","גודל גופן"
"Invoice Title","כותרת החשבונית"
"Logo for the Pdf","לוגו להדפסות Pdf"
"Page Size","גודל הדף"
"Shipment Title","כותרת תעודת המשלוח"
"Side Margins","שוליים צדדיים"
"Store Address","כתובת החנות"
"Tax Details","פירוט מע""מ"
"Top Margin","שוליים עליוניים"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","איזו כתובת אמורה להופיע על חשבונית הזיכוי. הערה, בחשבונית זיכוי עבור מוצרים להורדה אין צורך בכתובת למשלוח."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","איזו כתובת אמורה להופיע על חשבונית. הערה, בחשבונית עבור מוצרים להורדה אין צורך בכתובת למשלוח."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","איזו כתובת אמורה להופיע על תעודת המשלוח. הערה, תעודת המשלוח עבור מוצרים להורדה אין צורך בכתובת למשלוח."
"A4","A4"
"letter","letter"
"Billing Address only","כתובת החיוב בלבד"
"Shipping Address only","כתובת למשלוח בלבד"
"Both Addresses","שתי הכתובות"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","Pdf חתום דיגיטאלית"
"Signature","חתימה"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","העתק לכאן את התוכן של קובץ האישור/החתימה שלך, לרבות המפתח הפרטי. כלול את כל מה שמופיע בין -----BEGIN RSA PRIVATE KEY----- לבין -----END CERTIFICATE-----"
"Password of Signature","סיסמת החתימה"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","הוסף את הערותיך מותאמות אישית כאן כדי שיופיעו בתחתית ההזמנה המודפסת."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","איזו כתובת אמורה להופיע בהזמנה? הערה, בהזמנת מוצרים להורדה אין צורך בכתובת למשלוח."
"Display","הצג"
"None","ללא"
"Product Image","תמונת מוצר"
"SKU Barcode","מק""ט בר-קוד"
"Display Quantity as full number","הצג כמות כמספר מלא"
"US","US"
"European","אירופאי"
"Customer Address Format","פורמט כתובת הלקוח"
"Display Base and Order Currency","הצג מטבע בסיס ומטבע של הזמנה"
"Delivery Date","תאריך משלוח"
"Display Delivery Date","מציג תאריך משלוח"
"Displays the date of the invoice again. Needed in some jurisdictions.","מציג תאריך החשבונית שנית. נדרש במספר רשויות."
"Print Order History with Comments","הדפס היסטוריית הזמנות עם הערות"
"Single - Shipping Address Label","יחיד - תווית כתובת המשלוח"
"Single - Billing Address Label","יחיד - תווית כתובת החיוב"
"Double - Both Addresses","כפול - שתי כתובות"
"Use Integrated Labels","השתמש בתוויות מובנות"
"Print Order as Packing Slip","הדפס הזמנה כמדבקה לאריזה"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","השתמש באופציה זו אם ברצונך להדפיס מדבקות לאריזה ללא יצירת תעודת משלוח. יחד עם זאת לא ניתן יהיה להדפיס מדבקות עם מספר תעודת משלוח (מספר הזמנה יודפס במקום)."
"Footer Block 1","בלוק תחתון 1"
"Footer Block 2","בלוק תחתון 2"
"Footer Block 3","בלוק תחתון 3"
"Footer Block 4","בלוק תחתון 4"
"Double - Shipping and Return Addresses","כפול - כתובות למשלוח ולהחזרות"
"Return Address","כתובת להחזרות"
"Total Weight","משקל כולל"
"Display Total Weight","הצג משקל כולל"
"kg","ק""ג"
"Background Image for Pdf","תמונת רקע להדפסת Pdf"
"Placement of Logo","מיקום הלוגו"
"Logo Width","רוחב הלוגו"
"Logo Height","גובה הלוגו"
"Logo top-left Corner from the left","פינה שמאלית עליונה של הלוגו מצד שמאל"
"Logo top-left Corner from the top","פינה שמאלית עליונה של הלוגו מלמעלה"
"automatic","אוטומטי"
"no-scaling","ללא שינוי גודל"
"manual","ידני"
"Display Email Address","הצג כתובת מייל"
"Displays as part of the billing address.","מוצג כחלק מכתובת החיוב."
"in milimeters","במ""מ"
"Display Row Subtotal Including Tax","הצג שורת סך הכל כולל מע""מ"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","אפקטיבי רק אם Tax > Orders, Invoices, Creditmemos Display Settings > Prices הוגדרו לא להציג מע""מ"
"Grand Total is tax inclusive","שורת סה""כ כוללת מע""מ"
"Display only one Grand Total","הצג רק שורת סה""כ אחת"
"Display detailed Tax Summary","הצג סיכום מס מפורט"
"Columns","עמודות"
"Columns Advanced","עמודות מתקדם"
"Display Background only on first page","הצג רקע בעמוד ראשון בלבד"
"Display Page Number","הצג מספר עמוד"
"Custom Column","עמודה מותאמת אישית"
"Custom Column Attribute","תכונת עמודה מותאמת אישית"
"Base Amount","סכום בסיס"
"Select up to 5 attributes.","בחר עד 5 תכונות."
"Position","מיקום"
"Pos","Pos"
"right","ימין"
"left","שמאל"
"Display Pdf in New Window","הצג Pdf בחלון חדש"
"Weight Unit","יחידת משקל"
"Barcode Type","סוג ברקוד"
"Pdf Totals Sort Order","סדר מיון סה""כים ב-Pdf"
"Upload Custom Font","טען גופן מותאם אישית"
"Don't Use","אל תשתמש"
"Custom Label Left - Shipping Address","תווית מותאמת אישית שמאל – כתובת למשלוח"
"Custom Label Right - Shipping Address","תווית מותאמת אישית ימין – כתובת למשלוח"
"Custom Label Left - Billing Address","תווית מותאמת אישית שמאל – כתובת לחיוב"
"Custom Label Right - Billing Address","תווית מותאמת אישית ימין – כתובת לחיוב"
"Display Salesrule instead of Coupon Code","הצג כלל מכירות במקום קוד קופון"
"Combines Gift Wrapping for Orders, Items and Printed Cards","שלב עטיפת מתנה להזמנות, פריטים וכרטיסים מודפסים"
"Sort by Column","מיון לפי עמודה"
"Use Alternative Layout","השתמש ב-Layout חלופי"
"Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM).","ודא שסוג הברקוד תואם לתוכן או שיצירת ה-pdf תיכשל (ברירת מחדל: CODE 39 EXTENDED + CHECKSUM)."
"Double - Shipping and Store Addresses","כפול – כתובת למשלוח וכתובת החנות"
"Double - Shipping with Store Addresses and Image", "כפול – כתובת למשלוח וכתובת החנות וגם תמונה"
"Order Title","כותרת הזמנה"
"Display Order Barcode","הצג ברקוד של הזמנה"
