"Pdf Customiser by Fooman","Pdf Customiser by Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","Dodaj tekst koji će se prikazati pri dnu računa. Npr. ovdje se mogu upisati podaci o bankovnom računu i uvjeti plaćanja."
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","Dodaj poruku za prikaz pri dnu knjižne obavijesti"
"Add your custom comments here to appear at the bottom of the Shipment Pdf","Dodaj poruku za prikaz pri dnu otpremnice"
"Bottom Margin","Donja margina"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Izaberi Helvetica, Times ili Courier za manju veličinu datoteke. Izaberi Dejavu-Variants za širu podršku znakova (UTF-8)."
"Credit Memo Title","Naslov knjižne obavijesti"
"Custom Text","Proizvoljni tekst"
"Font","Font"
"Base Font Size","Veličina fonta"
"Invoice Title","Naslov računa"
"Logo for the Pdf","Logo za Pdf dokument"
"Page Size","Veličina stranice"
"Shipment Title","Naslov otpremnice"
"Side Margins","Bočne margine"
"Store Address","Adresa trgovine"
"Tax Details","PDV detalji"
"Top Margin","Gornja margina"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Koju adresu prikazati na knjižnoj obavijesti? Uzmite u obzir da proizvodi koji se digitalno preuzimaju nemaju adresu za isporuku."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Koju adresu prikazati na računu? Uzmite u obzir da proizvodi koji se digitalno preuzimaju nemaju adresu za isporuku."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Koju adresu prikazati na otpremnom listu? Uzmite u obzir da proizvodi koji se digitalno preuzimaju nemaju adresu za isporuku."
"A4","A4"
"letter","letter"
"Billing Address only","Samo adresa za naplatu"
"Shipping Address only","Samo adresa za isporuku"
"Both Addresses","Obje adrese"
"Courier","Prijevoznik"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","Digitalno potpiši Pdf dokument"
"Signature","Potpis"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Kopiraj sadržaj certifikata uključujući i privatni ključ ovdje. Uključivo s -----BEGIN RSA PRIVATE KEY----- do -----END CERTIFICATE-----"
"Password of Signature","Lozinka za potpis"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","Dodaj proizvoljnu poruku za prikaz pri dnu narudžbenice."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Koju adresu prikazati na narudžbi? Uzmite u obzir da proizvodi koji se digitalno preuzimaju nemaju adresu za isporuku."
"Display","Prikaz"
"None","Niti jedan"
"Product Image","Slika proizvoda"
"SKU Barcode","SKU bar-kod"
"Display Quantity as full number","Prikaži količinu kao cijeli broj"
"US","US"
"European","European"
"Customer Address Format","Format adrese kupca"
"Display Base and Order Currency","Prikaži osnovnu i valutu narudžbe"
"Delivery Date","Datum dostave"
"Display Delivery Date","Prikaži datum dostave"
"Displays the date of the invoice again. Needed in some jurisdictions.","Ponovno prikaži datum računa. Potrebno u nekim regijama."
"Print Order History with Comments","Ispiši povijest narudžbe s komentarima"
"Single - Shipping Address Label","Pojedinačna - Adresa za isporuku"
"Single - Billing Address Label","Pojedinačna - Adresa za naplatu"
"Double - Both Addresses","Skupna - Obje adrese"
"Use Integrated Labels","Koristi integrirane oznake"
"Print Order as Packing Slip","Ispiši narudžbu kao otpremni list"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","Koristi ovu opciju ako želiš ispisati otpremni list bez kreiranja otpremnice. Pri tom će se izgubiti mogućnost kreiranja otpremnog lista koji sadrži broj otpremnice (umjesto toga koristi se broj narudžbe)."
"Footer Block 1","Podnožje blok 1"
"Footer Block 2","Podnožje blok 2"
"Footer Block 3","Podnožje blok 3"
"Footer Block 4","Podnožje blok 4"
"Double - Shipping and Return Addresses","Grupna - Adresa za isporuku i povrat"
"Return Address","Adresa za povrat"
"Total Weight","Ukupna težina"
"Display Total Weight","Prikaži ukupnu težinu"
"kg","kg"
"Background Image for Pdf","Pozadinska slika za Pdf ispis"
"Placement of Logo","Pozicija loga"
"Logo Width","Širina loga"
"Logo Height","Visina loga"
"Logo top-left Corner from the left","Logo gornji-lijevi ugao od lijeva"
"Logo top-left Corner from the top","Logo gornji-lijevi ugao od vrha"
"automatic","automatski"
"no-scaling","no-scaling"
"manual","ručno"
"Display Email Address","Prikaži e-mail adresu"
"Displays as part of the billing address.","Prikazuje se kao dio adrese za naplatu"
"in milimeters","u milimetrima"
"Display Row Subtotal Including Tax","Prikaži red Ukupno s PDV-om"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","vrijedi samo ako su Tax > Orders, Invoices, Creditmemos Display Settings > Prices postavljeni da ne prikazuju PDV"
"Grand Total is tax inclusive","Ukupna suma uključuje PDV"
"Display only one Grand Total","Prikaži samo jednu ukupnu sumu"
"Display detailed Tax Summary","Prikaži detaljnu PDV sumu"
"Columns","Columns"
"Columns Advanced","Columns Advanced"
"Display Background only on first page","Display Background only on first page"
"Display Page Number","Display Page Number"
"Custom Column","Custom Column"
"Custom Column Attribute","Custom Column Attribute"
"Base Amount","Base Amount"
"Select up to 5 attributes.","Select up to 5 attributes."
"Position","Position"
"Pos","Pos"
"right","Right"
"left","Left"
"Display Pdf in New Window","Display Pdf in New Window"
"Weight Unit","Weight Unit"
"Barcode Type","Barcode Type"
"Pdf Totals Sort Order","Pdf Totals Sort Order"
"Upload Custom Font","Upload Custom Font"
"Don't Use","Don't Use"
"Custom Label Left - Shipping Address","Custom Label Left - Shipping Address"
"Custom Label Right - Shipping Address","Custom Label Right - Shipping Address"
"Custom Label Left - Billing Address","Custom Label Left - Billing Address"
"Custom Label Right - Billing Address","Custom Label Right - Billing Address"
"Display Salesrule instead of Coupon Code","Display Salesrule instead of Coupon Code"
"Combines Gift Wrapping for Orders, Items and Printed Cards","Combines Gift Wrapping for Orders, Items and Printed Cards"
"Sort by Column","Sort by Column"
"Use Alternative Layout","Use Alternative Layout"
