Available Papers for Gift Wrap,Carte disponibili per confezioni regalo
Print This Page,Stampa questa pagina
Items to giftwrap,Articoli regalo
Item,Articolo
Items,Nome articolo
Style Selection,Seleziona stile
Style Image,Stile immagine
Style Price,Stile prezzo
Personal Message,Messaggio personale
Wrap all available items in cart,Includi tutti gli articoli del carrello nel pacco regalo
View available papers,Vedi carte disponibili
Type your personal message here,Scrivi qui il tuo messaggio personale
Gift Wrap,Pacco Regalo
Gift Wrap Information,Informazioni sul Pacco Regalo
Giftwrap Information,Informazioni sul Pacco Regalo
Loading...,In caricamento...
Please wait...,Attnedi...
Wrap all items together,Metti insieme tutti gli articoli
Gift Wrap Tooltip,Pacco Regalo Tooltip
Giftwrap Amount,Importo Pacco Regalo
Create New Gift Box,Personalizza il tuo pacco regalo
Select a gift box style,Scegli la tua confezione regalo
Use gift card,Includi un biglietto
Paper,Confezione
Gift Card,Biglietto
No item for wrapping.,Non ci sono prodotti da mettere in una confezione.
Select a nice gift card,Scegli e personalizza un biglietto
Message to your friend (,Scrivi il tuo messaggio (massimo 
 characters max), caratteri)
Please select item to wrap !,Devi scegliere un articolo da inserire nella confezione!
Qty wrapped/Total,Qta inserita/totale
Qty to be wrapped,Qta da inserire
Tick to Wrap,Inserisci
Select items for wrapping (,Scegli gli articoli da includere nella confezione (massimo 
 items max per box), articoli per confezione)
Select items for wrapping,Scegli gli articoli da confezionare
Wrap all products in a box,Inserisci tutti i prodotti nella stessa confezione
Wrap each product in a box,Inserisci ogni prodotto in una singola confezione
 item(s),prod.
Giftwrap Style,Confezione
Giftcard,Biglietto
Number items in giftbox is larger!,Numero di articoli troppo grande!
Number items in giftbox is too large!,Numero di articoli troppo grande!
Please fill quantity of item !,Inserisci un valore in Qta da inserire
