Available Papers for Gift Wrap,Beschikbaar Inpakpapier
Print This Page,Pagina Afdrukken
Items to giftwrap,Producten voor Inpakken
Item,Product
Style Selection,Selecteer Stijl
Style Image,Stijl Afbeelding
Style Price,Stijl Prijs
Personal Message,Persoonlijke Boodschap
Wrap all available items in cart,Alle beschikbare producten in de winkelwagen inpakken
View available papers,Bekijk beschikbaar inpakpapier 
Type your personal message here,Typ uw persoonlijke boodschap
Gift Wrap,Inpakken
Gift Wrap Information,Informatie over inpakken
Loading...,Bezig met laden...
Please wait...,Moment alstublief...
Wrap all items together,Alle producten samen inpakken
Gift Wrap Tooltip,Melding Inpakken
Giftwrap Amount,Aantal Inpakken
,
Additional labels ( out of Magestore's translation file),
Select a gift box style,Kies uw pakpapier
Select items for wrapping (4 items max per box),Selecteer de producten die u wilt laten inpakken (max. 4 per doos)
Wrap all products in a box,Alle producten inpakken in 1 doos
Wrap each product in a box,Pak ieder product afzonderlijk in
Qty wrapped/Total,Aantal ingepakt/Totaal
Qty to be wrapped,In te pakken aantal
Tick to Wrap,Selecteer om in te Pakken
