"Pdf Customiser by Fooman","Pdf Customiser by Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","Komentarz, który tutaj dodasz, pojawi się na dole wydruku faktury. Możesz na przykład podać numer konta bankowego lub też warunki płatności."
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","Komentarz, który tutaj dodasz, pojawi się na dole wydruku noty kredytowej."
"Add your custom comments here to appear at the bottom of the Shipment Pdf","Komentarz, który tutaj dodasz, pojawi się na dole wydruku wysyłki."
"Bottom Margin","Margines dolny"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Wybierz font Helvetica, Times lub Courier by zmniejszyć rozmiar pliku. Font Dejavu-Variants posiada wsparcie dla UTF-8."
"Credit Memo Title","Tytuł noty kredytowej"
"Custom Text","Własny tekst"
"Font","Font"
"Base Font Size","Rozmiar fontu"
"Invoice Title","Tytuł faktury"
"Logo for the Pdf","Logo wydruków Pdf"
"Page Size","Rozmiar strony"
"Shipment Title","Tytuł wysyłki"
"Side Margins","Marginesy boczne"
"Store Address","Adres sklepu"
"Tax Details","Szczegóły podatku"
"Top Margin","Margines górny"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Które adresy powinny pojawić się na nocie kredytowej? Zwróć uwagę na to, że zamówienia produktów typu 'downloadable' nie posiadają adresu wysyłki."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Które adresy powinny pojawić się na fakturze? Zwróć uwagę na to, że zamówienia produktów typu 'downloadable' nie posiadają adresu wysyłki."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Które adresy powinny pojawić się na specyfikacji zawartości? Zwróć uwagę na to, że zamówienia produktów typu 'downloadable' nie posiadają adresu wysyłki."
"A4","A4"
"letter","list"
"Billing Address only","Tylko adres płatnika"
"Shipping Address only","Tylko adres dostawy"
"Both Addresses","Obydwa adresy"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","Cyfrowo podpisany Pdf"
"Signature","Podpis"
