"Pdf Customiser by Fooman","Fooman Pdf editor"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","Pridajte vaše poznámky, budú zobrazené na spodku faktúry. Môžete uviesť bankové spojenie alebo platobné podmienky."
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","Pridajte vaše poznámky. Zobrazia sa na spodku dobropisu."
"Add your custom comments here to appear at the bottom of the Shipment Pdf","Pridajte vaše poznámky. Zobrazia sa na spodku dodacieho listu."
"Bottom Margin","Dolný odstup"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Ak si zvolíte písmo Helvetica, Times alebo Courier, bude výsledný súbor malý. Zvoľte Dejavu-Varianty, pre špeciálné (UTF-8) znaky."
"Credit Memo Title","Názov dobropisu"
"Custom Text","Váš text"
"Font","Písmo"
"Base Font Size","Veľkosť písma"
"Invoice Title","Názov faktúry"
"Logo for the Pdf","Logo pre Pdf výtlačok"
"Page Size","Veľkosť stránky"
"Shipment Title","Názov spôsobu dodania"
"Side Margins","Okraje stránky"
"Store Address","Adresa obchodu"
"Tax Details","Daňové detaily"
"Top Margin","Horný odstup"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Ktoré adresy zobraziť na dobropise? Nezabudnite, že stiahnuteľné produkty (downloadable product) nemajú dodací list."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Ktoré adresy zobraziť na fakture? Nezabudnite, že stiahnuteľné produkty (downloadable product) nemajú dodaciu adresu."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Ktoré adresy zobraziť na dodacom liste? Nezabudnite, že stiahnuteľné produkty (downloadable product) nemajú dodaciu adresu."
"A4","A4"
"letter","list"
"Billing Address only","Len fakturačná adresa"
"Shipping Address only","Len dodacia adresa"
"Both Addresses","Obe adresy"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","Podpísať Pdf elektronickým podpisom"
"Signature","Podpis"
