"Pdf Customiser by Fooman","Pdf Customiser by Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","Vpišite komentar, ki se izpiše v spodnjem delu računa. Npr. Številko računa ali plačilne pogoje."
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","Vpišite komentar, ki se izpiše v spodnjem delu dobropisa."
"Add your custom comments here to appear at the bottom of the Shipment Pdf","Vpišite komentar, ki se izpiše v spodnjem delu dobavnice."
"Bottom Margin","Spodnji rob"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Izberite pisavo Helvetica, Times ali Courier za manjšo velikost datoteke. Izberite Dejavu-Variants za boljšo podporo posebnim znakom (UTF-8)."
"Credit Memo Title","Naslov za dobropis"
"Custom Text","Dodatni tekst"
"Font","Pisava"
"Base Font Size","Velikost pisave"
"Invoice Title","Naslov za račun"
"Logo for the Pdf","Logotip za Pdf izpise"
"Page Size","Velikost strani"
"Shipment Title","Naslov za dobavnico"
"Side Margins","Levi in desni rob"
"Store Address","Naslov trgovine"
"Tax Details","Podrobnosti DDV"
"Top Margin","Zgornji rob"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Kateri naslovi naj se izpišejo na dobropisu? Opozorilo: Naročila za elektronske izdelke (datoteke) ne vsebujejo naslova za dostavo."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Kateri naslovi naj se izpišejo na računu? Opozorilo: Naročila za elektronske izdelke (datoteke) ne vsebujejo naslova za dostavo."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Kateri naslovi naj se izpišejo na dobavnici? Opozorilo: Naročila za elektronske izdelke (datoteke) ne vsebujejo naslova za dostavo."
"A4","A4"
"letter","pismo (letter)"
"Billing Address only","Samo naslov za račun"
"Shipping Address only","Samo naslov za dostavo"
"Both Addresses","Oba naslova"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","Elektronski podpis Pdf datoteke"
"Signature","Podpis"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Vpišite vsebino vašega certifikata/datoteko podpisa, vključno s privatnim ključem. Vpišite vse od -----BEGIN RSA PRIVATE KEY----- do -----END CERTIFICATE-----"
"Password of Signature","Geslo podpisa"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","Vpišite komentar, ki se izpiše v spodnjem delu naročila."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Kateri naslovi naj se izpišejo na naročilu? Opozorilo: Naročila za elektronske izdelke (datoteke) ne vsebujejo naslova za dostavo."
"Display","Prikaži"
"None","Nič"
"Product Image","Sliko izdelka"
"SKU Barcode","Kodo izdelka (SKU)"
"Display Quantity as full number","Prikaži količino kot celo številko"
"US","US"
"European","Evropski"
"Customer Address Format","Format naslova kupca"
"Display Base and Order Currency","Prikaži osnovno valuto in valuto v naročilu"
"Delivery Date","Datum dostave"
"Display Delivery Date","Prikaži datum dostave"
"Displays the date of the invoice again. Needed in some jurisdictions.","Prikaže dodaten datum za dostavo (za določene zakonodaje)"
"Print Order History with Comments","Izpiši arhiv naročil s komentarji"
"Single - Shipping Address Label","En naslov – naslov za dostavo"
"Single - Billing Address Label","En naslov – naslov za račun"
"Double - Both Addresses","Dva naslova – oba naslova"
"Use Integrated Labels","Uporabi Integrated Labels"
"Print Order as Packing Slip","Izpiši naročilo kot dostavni list"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","številka dostavnega lista (uporabi št. Naročila)"
"Footer Block 1","Noga 1"
"Footer Block 2","Noga 2"
"Footer Block 3","Noga 3"
"Footer Block 4","Noga 4"
"Double - Shipping and Return Addresses","Dva naslova – Naslov za dostavo in vrnitev"
"Return Address","Naslov za vrnitev"
"Total Weight","Skupna teža"
"Display Total Weight","Prikaži skupno težo"
"kg","kg"
"Pdf Pdfs","Pdf izpisi"
"Order title","Naslov za naročilo"
"Display Order ID in Header","Prikaži številko naročila v glavi"
"Comments","Komentarji"
"Background Image for Pdf","Background Image for Pdf"
"Placement of Logo","Placement of Logo"
"Logo Width","Logo Width"
"Logo Height","Logo Height"
"Logo top-left Corner from the left","Logo top-left Corner from the left"
"Logo top-left Corner from the top","Logo top-left Corner from the top"
"automatic","automatic"
"no-scaling","no-scaling"
"manual","manual"
"Display Email Address","Display Email Address"
"Displays as part of the billing address.","Displays as part of the billing address."
"in milimeters","in milimeters"
"Display Row Subtotal Including Tax","Display Row Subtotal Including Tax"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes"
"Grand Total is tax inclusive","Grand Total is tax inclusive"
"Display only one Grand Total","Display only one Grand Total"
"Display detailed Tax Summary","Display Detailed Tax Summary"
"Columns","Columns"
"Columns Advanced","Columns Advanced"
"Display Background only on first page","Display Background only on first page"
"Display Page Number","Display Page Number"
"Custom Column","Custom Column"
"Custom Column Attribute","Custom Column Attribute"
"Base Amount","Base Amount"
"Select up to 5 attributes.","Select up to 5 attributes."
"Position","Position"
"Pos","Pos"
"right","Right"
"left","Left"
"Display Pdf in New Window","Display Pdf in New Window"
"Weight Unit","Weight Unit"
"Barcode Type","Barcode Type"
"Pdf Totals Sort Order","Pdf Totals Sort Order"
"Upload Custom Font","Upload Custom Font"
"Don't Use","Don't Use"
"Custom Label Left - Shipping Address","Custom Label Left - Shipping Address"
"Custom Label Right - Shipping Address","Custom Label Right - Shipping Address"
"Custom Label Left - Billing Address","Custom Label Left - Billing Address"
"Custom Label Right - Billing Address","Custom Label Right - Billing Address"
"Display Salesrule instead of Coupon Code","Display Salesrule instead of Coupon Code"
"Combines Gift Wrapping for Orders, Items and Printed Cards","Combines Gift Wrapping for Orders, Items and Printed Cards"
"Sort by Column","Sort by Column"
"Use Alternative Layout","Use Alternative Layout"
"Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM).","Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM)."
"Double - Shipping and Store Addresses","Double - Shipping and Store Addresses"
"Double - Shipping with Store Addresses and Image", "Double - Shipping with Store Addresses and Image"
