"Pdf Customiser by Fooman","Pdf Customiser by Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","Lägg till dina kommentarer här. Dessa kommer att synas i botten av fakturalayouten. Du kan tex ange bankgiro och betalningsvillkor."
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","Lägg till dina egna kommentarer här. De kommer att synas i botten på kreditfakturamallen"
"Add your custom comments here to appear at the bottom of the Shipment Pdf","Lägg till dina egna kommentarer här. De kommer att synas i botten på följesedelsmallen"
"Bottom Margin","Nedre marginal"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Välj Helvetica, Times eller Courier för mindre filtyper. Välj Dejavu-Varianterna för att stödja fler tecken (UTF-8)."
"Credit Memo Title","Kreditfakturarubrik"
"Custom Text","Anpassad text"
"Font","Font"
"Base Font Size","Font storlek"
"Invoice Title","Fakturarubrik"
"Logo for the Pdf","Logotyp för Pdf-utskrifter"
"Page Size","Sidstorlek"
"Shipment Title","Utleveransrubrik"
"Side Margins","Sidmarginal"
"Store Address","Butiksaddress"
"Tax Details","MomsDetaljer"
"Top Margin","Topmarginal"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Vilken adress ska synas på kreditfakturan? Notera att nedladdningsbara produkter ej har leveransadress."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Vilken adress ska synas på fakturan? Notera att nedladdningsbara produkter ej har leveransadress."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Vilken adress ska synas på plocklistan? Notera att nedladdningsbara produkter ej har leveransadress."
"A4","A4"
"letter","letter"
"Billing Address only","Enbart fakturaadress"
"Shipping Address only","Enbart leveransadress"
"Both Addresses","Båda Addresser"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","Signera Pdf digitalt"
"Signature","Signatur"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Kopiera innehållet av din/ditt certificat/signatur fil inkl din privata nyckel här. Inkludera all från -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----"
"Password of Signature","Lösenord för signature"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","Lägg till dina kommentarer här. Dessa kommer att synas i botten av orderlayouten."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Vilken adress ska synas på ordern? Notera att nedladdningsbara produkter ej har leveransadress."
"Display","Visa"
"None","Ingen"
"Product Image","Produktbild"
"SKU Barcode","Streckkod för art nr."
"Display Quantity as full number","Visa antal som heltal"
"US","USA"
"European","Europeisk"
"Customer Address Format","Anpassat adressformat"
"Display Base and Order Currency","Visa bas- och ordervaluta"
"Delivery Date","Leveransdatum"
"Display Delivery Date","Visa leveransdatum"
"Displays the date of the invoice again. Needed in some jurisdictions.","Visa fakturadatum igen. Krävs enligt vissa länder."
"Print Order History with Comments","Utskriftshistorik med kommentarer"
"Single - Shipping Address Label","Singel - Leveransadress Etikett"
"Single - Billing Address Label","Singel - Fakturaadress Etikett"
"Double - Both Addresses","Dubbel - Bägge Adresserna"
"Use Integrated Labels","Använd Integrerade Etiketter"
"List of shipments ready for download: %s","Lista med klara leveranser att ladda ner: %s"
"List of packingslips ready for download: %s","Lista med klara fraktsedlar att ladda ner: %s"
"Print Order as Packing Slip","Skriv Ut Order som Fraktsedel"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","Använd detta alternativ om du vill skriva ut fraktsedlar utan att behöva skapa leveranser. Du kommer däremot att förlora möjligheten att skriva ut fraktsedlar med leveransnummer (ordernumret används istället)."
"Footer Block 1","Sidfot Block 1"
"Footer Block 2","Sidfot Block 2"
"Footer Block 3","Sidfot Block 3"
"Footer Block 4","Sidfot Block 4"
"Double - Shipping and Return Addresses","Dubbel - Leverans och Returadresser"
"Return Address","Returadress"
"Total Weight","Totalvikt"
"Display Total Weight","Visa Totalvikt"
"kg","kg"
"Background Image for Pdf","Bakgrundsbild för Pdf-utskrifter"
"Placement of Logo","Placering av Logotyp"
"Logo Width","Logotyp Bredd"
"Logo Height","Logotyp Höjd"
"Logo top-left Corner from the left","Logotyp top-vänster Hörn från vänster"
"Logo top-left Corner from the top","Logotyp top-vänster Hörn från top"
"automatic","automatisk"
"no-scaling","ingen skalning"
"manual","manuell"
"Display Email Address","Visa Epostadress"
"Displays as part of the billing address.","Visas som del av fakturaadressen."
"in milimeters","i millimeter"
"Display Row Subtotal Including Tax","Visa Radtotal Inklusive Moms"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","gäller endast om Moms > Order, Faktura, Kreditfakturans Visningsinställningar > Priserna är inställda att visas utan moms"
"Grand Total is tax inclusive","Totalsumma är med moms"
"Display detailed Tax Summary","Display Detailed Tax Summary"
"Display only one Grand Total","Visa endast en Totalsumma"
"Columns","Columns"
"Columns Advanced","Columns Advanced"
"Display Background only on first page","Display Background only on first page"
"Display Page Number","Display Page Number"
"Custom Column","Custom Column"
"Custom Column Attribute","Custom Column Attribute"
"Base Amount","Base Amount"
"Select up to 5 attributes.","Select up to 5 attributes."
"Position","Position"
"Pos","Pos"
"right","Right"
"left","Left"
"Display Pdf in New Window","Display Pdf in New Window"
"Weight Unit","Weight Unit"
"Barcode Type","Barcode Type"
"Pdf Totals Sort Order","Pdf Totals Sort Order"
"Upload Custom Font","Upload Custom Font"
"Don't Use","Don't Use"
"Custom Label Left - Shipping Address","Custom Label Left - Shipping Address"
"Custom Label Right - Shipping Address","Custom Label Right - Shipping Address"
