"Pdf Customiser by Fooman","Pdf จัดทำขึ้นโดย Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","เพิ่มรูปแบบข้อความของคุณที่นี่เพื่อปรากฎทางด้านล่างของใบแจ้งยอดการชำระเงิน  ตัวอย่างเช่น คุณสามารถใส่ชื่อบัญชีธนาคารและวิธีการชำระเงิน"
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","เพิ่มรูปแบบข้อความของคุณที่นี่เพื่อปรากฎทางด้านล่างของใบการจ่ายเงินคืน"
"Add your custom comments here to appear at the bottom of the Shipment Pdf","เพิ่มรูปแบบข้อความของคุณที่นี่เพื่อปรากฎทางด้านล่างของใบการจัดส่งสินค้า"
"Bottom Margin","ระยะห่างของพื้นที่ด้านล่างจนถึงเส้นกรอบ"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","เลือกฟอนต์ Helvetica, Times หรือ Courier สำหรับขนาดไฟร์ที่เล็กกว่า เลือกฟอนต์ Dejavu-Variants เพื่อรับรองตัวหนังสือที่มากกว่า(UTF-8)."
"Credit Memo Title","หัวข้อการจ่ายเงินคืน"
"Custom Text","รูปแบบข้อความ"
"Font","ฟอนต์"
"Base Font Size","ขนาดฟอนต์"
"Invoice Title","หัวข้อการแจ้งยอดการชำระเงิน"
"Logo for the Pdf","Logo สำหรับใบ Pdf "
"Page Size","ขนาดกระดาษ"
"Shipment Title","หัวข้อการจัดส่งสินค้า"
"Side Margins","ระยะห่างของพื้นที่ด้านข้างจนถึงเส้นกรอบ"
"Store Address","ที่อยู่ของร้าน"
"Tax Details","รายละเอียดการจ่ายภาษี"
"Top Margin","ระยะห่างของพื้นที่ด้านบนจนถึงเส้นกรอบ"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","ที่อยู่ใดควรปรากฎบนการจ่ายเงินคืน? โปรดสังเกตุว่าการดาวโหลดใบสั่งซื้อสินค้าไม่มีที่อยู่ของการจัดส่งสินค้า"
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","ที่อยู่ใดควรปรากฎบนการแจ้งยอดการชำระเงิน? โปรดสังเกตุว่าการดาวโหลดใบสั่งซื้อสินค้าไม่มีที่อยู่ของการจัดส่งสินค้า"
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","ที่อยู่ใดควรปรากฎบนเอกสารที่ระบุรายละเอียดเกี่ยวกับประเภทสินค้า? โปรดสังเกตุว่าการดาวโหลดใบสั่งซื้อสินค้าไม่มีที่อยู่ของการจัดส่"
"A4","A4"
"letter","رسالة"
"Billing Address only","عنوان ارسال الفاتورة فقط"
"Shipping Address only","عنوان الاستلام فقط"
"Both Addresses","العناوين معا"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","توقيع إلكتروني "
"Signature","توقيع"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","نقل محتوى الشهادة/التوقيع (إضافة إلى المفتاح الخاص). ينقل كل شيء"
"Password of Signature","Password of Signature"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","Add your custom comments here to appear at the bottom of the Order Pdf."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address."
"Display","Display"
"None","None"
"Product Image","Product Image"
"SKU Barcode","SKU Barcode"
"Display Quantity as full number","Display Quantity as full number"
"US","US"
"European","European"
"Customer Address Format","Customer Address Format"
"Display Base and Order Currency","Display Base and Order Currency"
"Delivery Date","Delivery Date"
"Display Delivery Date","Display Delivery Date"
"Displays the date of the invoice again. Needed in some jurisdictions.","Displays the date of the invoice again. Needed in some jurisdictions."
"Print Order History with Comments","Print Order History with Comments"
